,ip_str,domain,sshfp,sshKeys
0,206.12.89.235,computecanada.ca,"['1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5', '4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3']","['4 2 f4zgaSW3Io2UCgRrNPmBp835ICrJYZQ8nq5nYHqbguo=', '4 1 x81830FR5S6R+KLMZC4qNhD9AfA=', '3 2 N7OII9Apdrff97UkXhVZ6DLMtjqP8pKNlg9SYW0nqm4=', '3 1 WGJa10w5pHexzy8ubumFcRHYHvs=', '1 2 /QWA8qg/o9AinCddgewr4ACgNYI5W+k59uCd/3Z9/Bg=', '1 1 2m0oonKlu2ZhXHIOj9uQ5LlC0Yk=', '1 2 /QWA8qg/o9AinCddgewr4ACgNYI5W+k59uCd/3Z9/Bg=', '1 1 2m0oonKlu2ZhXHIOj9uQ5LlC0Yk=', '1 2 /QWA8qg/o9AinCddgewr4ACgNYI5W+k59uCd/3Z9/Bg=', '1 1 2m0oonKlu2ZhXHIOj9uQ5LlC0Yk=']"
1,157.245.93.138,capindev.tech,"['4 1 aa0bab3c7c5a5ff369b1d1430176de5bd662d157', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '3 1 3047ca12b18d89447832effe2c36b0845c4828d3']","['4 2 Lsixvzfi6CnV1E1RO6wt1w5C5/ffmXclWRMp73nC3c8=', '4 1 qgurPHxaX/NpsdFDAXbeW9Zi0Vc=', '3 2 S47p5NNhyxGC6SaV4llROHEazG7j5NvEsBpOm1Pix78=', '3 1 MEfKErGNiUR4Mu/+LDawhFxIKNM=', '1 2 Pjmk+962C40YKKshVs4P/k5LUGFGtQU8VjM+46RR6tk=', '1 1 j0fCWzIM0VjHpEp5G9tFKp/v89U=', '1 2 Pjmk+962C40YKKshVs4P/k5LUGFGtQU8VjM+46RR6tk=', '1 1 j0fCWzIM0VjHpEp5G9tFKp/v89U=', '1 2 Pjmk+962C40YKKshVs4P/k5LUGFGtQU8VjM+46RR6tk=', '1 1 j0fCWzIM0VjHpEp5G9tFKp/v89U=']"
2,66.70.220.158,usa-validinfos.com,"['2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']","['4 2 XfA8TfJ3JNm1xy5mlRo1be1V5Jb0Lxbz0C6lGmJNZCU=', '4 1 dHlpgKyAwWwMRr7x8UNnOOpzM9g=', '3 2 o9Sw+g+pMaUYJz6/F9VAQ7dXl6uKvQE6g+3tnx4p2s0=', '3 1 asJuaawu2RsTkaWcTMXkLvdTbBE=', '1 2 ZW9kLibxloZgUNFUZACZgx855kjZ4w4vpr3x/xnT+0s=', '1 1 ln725/lGmrJtKCizaW7ALg1FGkA=', '1 2 ZW9kLibxloZgUNFUZACZgx855kjZ4w4vpr3x/xnT+0s=', '1 1 ln725/lGmrJtKCizaW7ALg1FGkA=']"
3,51.178.186.64,spicycode.eu,"['4 1 41e269aec5e1dba9434454a32768f807fd9f7e7f', '2 1 771f775ff298d25a762650d29d9a1ac2b3f81e2a', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9', '3 1 ef6c14ba85aa506f826dc4a3b8ec5d9929a83c3a']","['4 2 FEwvQT6SMaZzpIUpPsqBD+7e7Ojo5Si/5WbR3PJ5Uvc=', '4 1 QeJprsXh26lDRFSjJ2j4B/2ffn8=', '3 2 xpu5bFYVLT+qQ6TtctFT6WKXdseHBewfBzpPdiVTS5Q=', '3 1 72wUuoWqUG+CbcSjuOxdmSmoPDo=', '1 2 vwuG5e2EzFWfJghRcvDCzgzKqeOmsIKdzhiXKE/AV7M=', '1 1 TlfgO/wqky1TV+/SMuYaq3Z6Fck=', '1 2 vwuG5e2EzFWfJghRcvDCzgzKqeOmsIKdzhiXKE/AV7M=', '1 1 TlfgO/wqky1TV+/SMuYaq3Z6Fck=']"
4,217.28.145.209,eu.org,"['2 2 483fec41be7c639bb405e5e68cd15d1b632779bdbc4a2ea1145d3039e64ff570', '3 2 9a13a1c4bede22f86b76f1d4f05625f6b840f1b662bd0c6a13f4665eb3c69cc5', '1 2 dc800284c9b552dcf0ff7385468ce38eac001e511b0e1542705707d070add5d0']","['4 2 CF05DUUJvL3XWkurgTUgeiLDQDc/cINATAOd1YZlSFA=', '4 1 +VmtgbtEiXL0eEFuGAzjx5t0OBY=', '3 2 mbUMf0DSX6jdxvTE0PC201CXGA54BGsAouK+YPYk1XA=', '3 1 O2xn1A02/Xlo5of+Zln3RIMx1rw=', '1 2 4uxcCru3gZj1KARQNwjLZGfX/4hWU8oN107mnxSlnww=', '1 1 ReH7tuTzAMzy/cXNVsk3tnMo5Uk=', '1 2 4uxcCru3gZj1KARQNwjLZGfX/4hWU8oN107mnxSlnww=', '1 1 ReH7tuTzAMzy/cXNVsk3tnMo5Uk=', '1 2 4uxcCru3gZj1KARQNwjLZGfX/4hWU8oN107mnxSlnww=', '1 1 ReH7tuTzAMzy/cXNVsk3tnMo5Uk=']"
5,5.75.140.200,aberrata.net,"['4 2 4e099f961f80bd4efbde250b44cbae29b2442a74358170e616505c029a087935', '1 1 b7f8c9d96b2a49c7dba8ce95b91502e23f57b354', '3 1 6a0d50b77bc40890dd831e7232df23a297df9fc7', '4 1 68b6cc6d1c69f06ed21e38790c6beb8a00ee8fee', '3 2 ee8b382d70fc42f3c7911cdc3fa922545f7bad0c7077677bae8ea1834b7c9629', '1 2 9d55137f46abd8f9792f08ebe6ca6850f08b27d5f6e102fcd30d29a99e4c8fef']","['4 2 G+LPRu9uOGfBqtHDvDFrkjZx2Qx4qgU29sIm5ctGZkA=', '4 1 N8aJSOtwRA2l2BaWs2fwr/692v4=', '3 2 by/3aMXH67yhpdJxPdWZ+EMHiUkr7Les2HzBM18pmzQ=', '3 1 GHYqj2kxZQgUK6REUWlz52rgp2E=', '1 2 OII6II8FwyDtIm7scBsYjFty9MAhdOJ2QVFvfs8m6TM=', '1 1 lHqzuXgxng3G4mQk4WAfzQmZJoo=', '1 2 OII6II8FwyDtIm7scBsYjFty9MAhdOJ2QVFvfs8m6TM=', '1 1 lHqzuXgxng3G4mQk4WAfzQmZJoo=']"
6,144.217.117.231,mta02.net,"['3 1 19f1667e885ce433b10f90e8fd3324937e6b527b', '2 1 990588e17d3323cc0da1683c87cd336d560a9a7b', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c', '4 1 18c26d0e43656ee8bcbb03f3beadad8b364c59c1']","['3 2 AcvD+x8woSED9yNkphjUp7I9FRt5DR+W+5mykibjwho=', '3 1 GfFmfohc5DOxD5Do/TMkk35rUns=', '1 2 P7QhXrmHo9tOW1LVf7f9or+OV824mmyqhZ7TcRT9zTE=', '1 1 E38vuMXk/GwS3qRXjkV54Pfcuow=', '1 2 P7QhXrmHo9tOW1LVf7f9or+OV824mmyqhZ7TcRT9zTE=', '1 1 E38vuMXk/GwS3qRXjkV54Pfcuow=']"
7,54.39.78.219,infotechnodeals.com,"['3 1 013700abde3cbb1d6945fa457d4930ab7b28867d', '4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '2 1 7df904865bc0424e076cf538d4c2a22dda2c9dd3', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f']","['4 2 JXOZO542AEYUIjkrcoeW0d3eWSHoSqc2GzeNcGsiNrg=', '4 1 8JR4mryslWsJJozDGgpLWqzMbFY=', '3 2 qufv+qxFnl610i6iDRyzqIpDxjPoyIZXOUeujg4u19U=', '3 1 ATcAq948ux1pRfpFfUkwq3sohn0=', '1 2 40SJnNyo8hhEdBxL+lA12g9mEf3AKE5XcRiX0rpYLno=', '1 1 PGFHDi3hLukUD6cS01GkbL2OgU8=', '1 2 40SJnNyo8hhEdBxL+lA12g9mEf3AKE5XcRiX0rpYLno=', '1 1 PGFHDi3hLukUD6cS01GkbL2OgU8=']"
8,206.12.91.151,computecanada.ca,"['4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3', '1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5']","['4 2 hf3AH1MYKXbpd4bd8nOq0NgDlmz2ncz4SnFiJePwroc=', '4 1 gmtwA6XDV5R7uFpDrcJg2cyw66Q=', '3 2 bguaC23byZbVFoNWMVT6NOsMD6QQAtw+saKRmiwGDeY=', '3 1 T/ENt2VRqaayzK2sYKRwh9e9kIg=', '1 2 An14kp/Oc431IkkDBk+tnHPM4fiRpl0aqFEIct322yc=', '1 1 QjcpQ06kgS5CudhUXeAJrSvjPW4=', '1 2 An14kp/Oc431IkkDBk+tnHPM4fiRpl0aqFEIct322yc=', '1 1 QjcpQ06kgS5CudhUXeAJrSvjPW4=']"
9,206.12.101.15,computecanada.ca,"['4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3', '1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5']","['4 2 SdJJeBt4Rrt8t1TTlTcpZoOTrJxnolSOyPSyF/0Yrko=', '4 1 JY6SyTLPIB0LCwFHRfyFIL5LnYE=', '3 2 liyUtgI2mMftBUgXgMsaEqT8yJGwyDLeKNCsWetkSJk=', '3 1 INjB/KxN+rkwuc0eo/e9CPveoQ8=', '1 2 tKlp4AjtH8EWDGdsFmA4vCdrm30cBUSo0x3aank2akc=', '1 1 DMLHxW3Yuz9clTrWSlMIVdUWoc4=', '1 2 tKlp4AjtH8EWDGdsFmA4vCdrm30cBUSo0x3aank2akc=', '1 1 DMLHxW3Yuz9clTrWSlMIVdUWoc4=']"
