,Unnamed: 0,ip_str,domain,sshfp,sshKeys,comparison
0,0,206.12.89.235,computecanada.ca,"['1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5', '4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3']","['4 2 7f8ce06925b7228d940a046b34f981a7cdf9202ac961943c9eae67607a9b82ea', '4 1 c7cd7cdf4151e52e91f8a2cc642e2a3610fd01f0', '3 2 37b38823d02976b7dff7b5245e1559e832ccb63a8ff2928d960f52616d27aa6e', '3 1 58625ad74c39a477b1cf2f2e6ee9857111d81efb', '1 2 fd0580f2a83fa3d0229c275d81ec2be000a03582395be939f6e09dff767dfc18', '1 1 da6d28a272a5bb66615c720e8fdb90e4b942d189', '1 2 fd0580f2a83fa3d0229c275d81ec2be000a03582395be939f6e09dff767dfc18', '1 1 da6d28a272a5bb66615c720e8fdb90e4b942d189', '1 2 fd0580f2a83fa3d0229c275d81ec2be000a03582395be939f6e09dff767dfc18', '1 1 da6d28a272a5bb66615c720e8fdb90e4b942d189']",False
1,1,157.245.93.138,capindev.tech,"['4 1 aa0bab3c7c5a5ff369b1d1430176de5bd662d157', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '3 1 3047ca12b18d89447832effe2c36b0845c4828d3']","['4 2 2ec8b1bf37e2e829d5d44d513bac2dd70e42e7f7df997725591329ef79c2ddcf', '4 1 aa0bab3c7c5a5ff369b1d1430176de5bd662d157', '3 2 4b8ee9e4d361cb1182e92695e2595138711acc6ee3e4dbc4b01a4e9b53e2c7bf', '3 1 3047ca12b18d89447832effe2c36b0845c4828d3', '1 2 3e39a4fbdeb60b8d1828ab2156ce0ffe4e4b506146b5053c56333ee3a451ead9', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '1 2 3e39a4fbdeb60b8d1828ab2156ce0ffe4e4b506146b5053c56333ee3a451ead9', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '1 2 3e39a4fbdeb60b8d1828ab2156ce0ffe4e4b506146b5053c56333ee3a451ead9', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5']",True
2,2,66.70.220.158,usa-validinfos.com,"['2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']","['4 2 5df03c4df27724d9b5c72e66951a356ded55e496f42f16f3d02ea51a624d6425', '4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '3 2 a3d4b0fa0fa931a518273ebf17d54043b75797ab8abd013a83eded9f1e29dacd', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11', '1 2 656f642e26f196866050d154640099831f39e648d9e30e2fa6bdf1ff19d3fb4b', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '1 2 656f642e26f196866050d154640099831f39e648d9e30e2fa6bdf1ff19d3fb4b', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40']",True
3,3,51.178.186.64,spicycode.eu,"['4 1 41e269aec5e1dba9434454a32768f807fd9f7e7f', '2 1 771f775ff298d25a762650d29d9a1ac2b3f81e2a', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9', '3 1 ef6c14ba85aa506f826dc4a3b8ec5d9929a83c3a']","['4 2 144c2f413e9231a673a485293eca810feedeece8e8e528bfe566d1dcf27952f7', '4 1 41e269aec5e1dba9434454a32768f807fd9f7e7f', '3 2 c69bb96c56152d3faa43a4ed72d153e9629776c78705ec1f073a4f7625534b94', '3 1 ef6c14ba85aa506f826dc4a3b8ec5d9929a83c3a', '1 2 bf0b86e5ed84cc559f26085172f0c2ce0ccaa9e3a6b0829dce1897284fc057b3', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9', '1 2 bf0b86e5ed84cc559f26085172f0c2ce0ccaa9e3a6b0829dce1897284fc057b3', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9']",True
4,4,217.28.145.209,eu.org,"['2 2 483fec41be7c639bb405e5e68cd15d1b632779bdbc4a2ea1145d3039e64ff570', '3 2 9a13a1c4bede22f86b76f1d4f05625f6b840f1b662bd0c6a13f4665eb3c69cc5', '1 2 dc800284c9b552dcf0ff7385468ce38eac001e511b0e1542705707d070add5d0']","['4 2 085d390d4509bcbdd75a4bab8135207a22c340373f7083404c039dd586654850', '4 1 f959ad81bb448972f478416e180ce3c79b743816', '3 2 99b50c7f40d25fa8ddc6f4c4d0f0b6d35097180e78046b00a2e2be60f624d570', '3 1 3b6c67d40d36fd7968e687fe6659f7448331d6bc', '1 2 e2ec5c0abbb78198f52804503708cb6467d7ff885653ca0dd74ee69f14a59f0c', '1 1 45e1fbb6e4f300ccf2fdc5cd56c937b67328e549', '1 2 e2ec5c0abbb78198f52804503708cb6467d7ff885653ca0dd74ee69f14a59f0c', '1 1 45e1fbb6e4f300ccf2fdc5cd56c937b67328e549', '1 2 e2ec5c0abbb78198f52804503708cb6467d7ff885653ca0dd74ee69f14a59f0c', '1 1 45e1fbb6e4f300ccf2fdc5cd56c937b67328e549']",False
5,5,5.75.140.200,aberrata.net,"['4 2 4e099f961f80bd4efbde250b44cbae29b2442a74358170e616505c029a087935', '1 1 b7f8c9d96b2a49c7dba8ce95b91502e23f57b354', '3 1 6a0d50b77bc40890dd831e7232df23a297df9fc7', '4 1 68b6cc6d1c69f06ed21e38790c6beb8a00ee8fee', '3 2 ee8b382d70fc42f3c7911cdc3fa922545f7bad0c7077677bae8ea1834b7c9629', '1 2 9d55137f46abd8f9792f08ebe6ca6850f08b27d5f6e102fcd30d29a99e4c8fef']","['4 2 1be2cf46ef6e3867c1aad1c3bc316b923671d90c78aa0536f6c226e5cb466640', '4 1 37c68948eb70440da5d81696b367f0affebddafe', '3 2 6f2ff768c5c7ebbca1a5d2713dd599f8430789492becb7acd87cc1335f299b34', '3 1 18762a8f69316508142ba444516973e76ae0a761', '1 2 38823a208f05c320ed226eec701b188c5b72f4c02174e27641516f7ecf26e933', '1 1 947ab3b978319e0dc6e26424e1601fcd0999268a', '1 2 38823a208f05c320ed226eec701b188c5b72f4c02174e27641516f7ecf26e933', '1 1 947ab3b978319e0dc6e26424e1601fcd0999268a']",False
6,6,144.217.117.231,mta02.net,"['3 1 19f1667e885ce433b10f90e8fd3324937e6b527b', '2 1 990588e17d3323cc0da1683c87cd336d560a9a7b', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c', '4 1 18c26d0e43656ee8bcbb03f3beadad8b364c59c1']","['3 2 01cbc3fb1f30a12103f72364a618d4a7b23d151b790d1f96fb99b29226e3c21a', '3 1 19f1667e885ce433b10f90e8fd3324937e6b527b', '1 2 3fb4215eb987a3db4e5b52d57fb7fda2bf8e57cdb89a6caa859ed37114fdcd31', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c', '1 2 3fb4215eb987a3db4e5b52d57fb7fda2bf8e57cdb89a6caa859ed37114fdcd31', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c']",True
7,7,54.39.78.219,infotechnodeals.com,"['3 1 013700abde3cbb1d6945fa457d4930ab7b28867d', '4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '2 1 7df904865bc0424e076cf538d4c2a22dda2c9dd3', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f']","['4 2 2573993b9e3600461422392b728796d1ddde5921e84aa7361b378d706b2236b8', '4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '3 2 aae7effaac459e5eb5d22ea20d1cb3a88a43c633e8c886573947ae8e0e2ed7d5', '3 1 013700abde3cbb1d6945fa457d4930ab7b28867d', '1 2 e344899cdca8f21844741c4bfa5035da0f6611fdc0284e57711897d2ba582e7a', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f', '1 2 e344899cdca8f21844741c4bfa5035da0f6611fdc0284e57711897d2ba582e7a', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f']",True
8,8,206.12.91.151,computecanada.ca,"['4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3', '1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5']","['4 2 85fdc01f53182976e97786ddf273aad0d803966cf69dccf84a716225e3f0ae87', '4 1 826b7003a5c357947bb85a43adc260d9ccb0eba4', '3 2 6e0b9a0b6ddbc996d51683563154fa34eb0c0fa41002dc3eb1a2919a2c060de6', '3 1 4ff10db76551a9a6b2ccadac60a47087d7bd9088', '1 2 027d78929fce738df5224903064fad9c73cce1f891a65d1aa8510872ddf6db27', '1 1 423729434ea4812e42b9d8545de009ad2be33d6e', '1 2 027d78929fce738df5224903064fad9c73cce1f891a65d1aa8510872ddf6db27', '1 1 423729434ea4812e42b9d8545de009ad2be33d6e']",False
9,9,206.12.101.15,computecanada.ca,"['4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3', '1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5']","['4 2 49d249781b7846bb7cb754d3953729668393ac9c67a2548ec8f4b217fd18ae4a', '4 1 258e92c932cf201d0b0b014745fc8520be4b9d81', '3 2 962c94b6023698c7ed05481780cb1a12a4fcc891b0c832de28d0ac59eb644899', '3 1 20d8c1fcac4dfab930b9cd1ea3f7bd08fbdea10f', '1 2 b4a969e008ed1fc1160c676c166038bc276b9b7d1c0544a8d31dda6a79366a47', '1 1 0cc2c7c56dd8bb3f5c953ad64a530855d516a1ce', '1 2 b4a969e008ed1fc1160c676c166038bc276b9b7d1c0544a8d31dda6a79366a47', '1 1 0cc2c7c56dd8bb3f5c953ad64a530855d516a1ce']",False
