Unnamed: 0.1,Unnamed: 0,ip_str,domain,sshfp,sshKeys,comparison,DNSSEC
1,1,157.245.93.138,capindev.tech,"['4 1 aa0bab3c7c5a5ff369b1d1430176de5bd662d157', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '3 1 3047ca12b18d89447832effe2c36b0845c4828d3']","['4 2 2ec8b1bf37e2e829d5d44d513bac2dd70e42e7f7df997725591329ef79c2ddcf', '4 1 aa0bab3c7c5a5ff369b1d1430176de5bd662d157', '3 2 4b8ee9e4d361cb1182e92695e2595138711acc6ee3e4dbc4b01a4e9b53e2c7bf', '3 1 3047ca12b18d89447832effe2c36b0845c4828d3', '1 2 3e39a4fbdeb60b8d1828ab2156ce0ffe4e4b506146b5053c56333ee3a451ead9', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '1 2 3e39a4fbdeb60b8d1828ab2156ce0ffe4e4b506146b5053c56333ee3a451ead9', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '1 2 3e39a4fbdeb60b8d1828ab2156ce0ffe4e4b506146b5053c56333ee3a451ead9', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5']",True,False
2,2,66.70.220.158,usa-validinfos.com,"['2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']","['4 2 5df03c4df27724d9b5c72e66951a356ded55e496f42f16f3d02ea51a624d6425', '4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '3 2 a3d4b0fa0fa931a518273ebf17d54043b75797ab8abd013a83eded9f1e29dacd', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11', '1 2 656f642e26f196866050d154640099831f39e648d9e30e2fa6bdf1ff19d3fb4b', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '1 2 656f642e26f196866050d154640099831f39e648d9e30e2fa6bdf1ff19d3fb4b', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40']",True,False
3,3,51.178.186.64,spicycode.eu,"['4 1 41e269aec5e1dba9434454a32768f807fd9f7e7f', '2 1 771f775ff298d25a762650d29d9a1ac2b3f81e2a', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9', '3 1 ef6c14ba85aa506f826dc4a3b8ec5d9929a83c3a']","['4 2 144c2f413e9231a673a485293eca810feedeece8e8e528bfe566d1dcf27952f7', '4 1 41e269aec5e1dba9434454a32768f807fd9f7e7f', '3 2 c69bb96c56152d3faa43a4ed72d153e9629776c78705ec1f073a4f7625534b94', '3 1 ef6c14ba85aa506f826dc4a3b8ec5d9929a83c3a', '1 2 bf0b86e5ed84cc559f26085172f0c2ce0ccaa9e3a6b0829dce1897284fc057b3', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9', '1 2 bf0b86e5ed84cc559f26085172f0c2ce0ccaa9e3a6b0829dce1897284fc057b3', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9']",True,False
6,6,144.217.117.231,mta02.net,"['3 1 19f1667e885ce433b10f90e8fd3324937e6b527b', '2 1 990588e17d3323cc0da1683c87cd336d560a9a7b', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c', '4 1 18c26d0e43656ee8bcbb03f3beadad8b364c59c1']","['3 2 01cbc3fb1f30a12103f72364a618d4a7b23d151b790d1f96fb99b29226e3c21a', '3 1 19f1667e885ce433b10f90e8fd3324937e6b527b', '1 2 3fb4215eb987a3db4e5b52d57fb7fda2bf8e57cdb89a6caa859ed37114fdcd31', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c', '1 2 3fb4215eb987a3db4e5b52d57fb7fda2bf8e57cdb89a6caa859ed37114fdcd31', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c']",True,False
7,7,54.39.78.219,infotechnodeals.com,"['3 1 013700abde3cbb1d6945fa457d4930ab7b28867d', '4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '2 1 7df904865bc0424e076cf538d4c2a22dda2c9dd3', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f']","['4 2 2573993b9e3600461422392b728796d1ddde5921e84aa7361b378d706b2236b8', '4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '3 2 aae7effaac459e5eb5d22ea20d1cb3a88a43c633e8c886573947ae8e0e2ed7d5', '3 1 013700abde3cbb1d6945fa457d4930ab7b28867d', '1 2 e344899cdca8f21844741c4bfa5035da0f6611fdc0284e57711897d2ba582e7a', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f', '1 2 e344899cdca8f21844741c4bfa5035da0f6611fdc0284e57711897d2ba582e7a', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f']",True,False
10,10,194.163.171.76,5wh.info,"['2 1 d0c088d5fcf5adeb9dd6721d56463d051386e30a', '3 1 3b87de4389ef3f9768aec932716c6e147fa452f0', '4 1 c41c1455580bcbd47e0ef77a0b0ed25dcd52a370', '1 1 07e65095f335a99453afdd022731b93a39ee60a9']","['4 2 c53950dada9b1420068d185140814263c749b9eb05083f04ab051f35a4c03d5b', '4 1 c41c1455580bcbd47e0ef77a0b0ed25dcd52a370', '3 2 3944c066e9a8e2ed723e17f7cc66fadb4b2f2a10bec3878948041cdddb54f45f', '3 1 3b87de4389ef3f9768aec932716c6e147fa452f0', '1 2 178c3ed2b67d303ea740c04a400d8a670ff9aa68e455d0106ce75af088d44809', '1 1 07e65095f335a99453afdd022731b93a39ee60a9', '1 2 178c3ed2b67d303ea740c04a400d8a670ff9aa68e455d0106ce75af088d44809', '1 1 07e65095f335a99453afdd022731b93a39ee60a9', '1 2 178c3ed2b67d303ea740c04a400d8a670ff9aa68e455d0106ce75af088d44809', '1 1 07e65095f335a99453afdd022731b93a39ee60a9']",True,False
14,14,54.39.13.22,listsourceinfo.com,"['1 1 d3bb9ac412868736c33bafadb77db2bf53b4839e', '4 1 7d25bc40a1ad90e1ef276ce9edd5d6ecff45fa1e', '3 1 15001453bf1a3ffaedee7f3a30030fb1cef66244', '2 1 be003d74f1253a61fb6a17452c7391d9beb9d942']","['4 2 dd795ee1a6860aa9d9f4b7af7d7c164102ddbd7cd1fed3d12e1f7f5ad815355e', '4 1 7d25bc40a1ad90e1ef276ce9edd5d6ecff45fa1e', '3 2 cbfec9ec930ad8b7c879b5c0ba9815b37c10335d34ec836ec5d1d622a60e827e', '3 1 15001453bf1a3ffaedee7f3a30030fb1cef66244', '1 2 b88dff5c5e2026abd119dc2561eb00b2ba1f256bb66d7eb236726b14a8b1b5e0', '1 1 d3bb9ac412868736c33bafadb77db2bf53b4839e', '1 2 b88dff5c5e2026abd119dc2561eb00b2ba1f256bb66d7eb236726b14a8b1b5e0', '1 1 d3bb9ac412868736c33bafadb77db2bf53b4839e']",True,False
16,16,5.9.90.147,zertrin.org,"['1 2 1fc43765703c3dc03ad155778da1f0cdbccd0e84977dd31b23fe41df0083baf8', '1 1 7d9eb392dbb53ed8d4ece9d6dd5b637c27f25b94', '4 2 bdbbec986695c68a2033d753e392613168b03b3b8aa1a79b7fbcd58dbf19e50b', '4 1 ed5bde16d5922e6b9a184f159a4fb2bb02c03b7c']","['4 2 bdbbec986695c68a2033d753e392613168b03b3b8aa1a79b7fbcd58dbf19e50b', '4 1 ed5bde16d5922e6b9a184f159a4fb2bb02c03b7c']",True,False
18,18,66.70.238.17,b2bleadsinfo.com,"['4 1 6a3a5eb90c1d476c9923dbb847a07b7959d7c9ca', '3 1 1870036fc5497b2c83f570ef7f4f31605e0e3910', '2 1 08fec5d917be361f201bef645879741696eb14d0', '1 1 cd9a0dd1af63edc708b2fdab377bae869c88b0cc']","['4 2 aa7bcbba2a164974e09d8500149bf8b50c7b4e7ad1858e383ad7165dd6e26a0f', '4 1 6a3a5eb90c1d476c9923dbb847a07b7959d7c9ca', '3 2 72d69c98b092edd133e8458b92b24df075ab7a53423b4aaaa5cb3279927317f9', '3 1 1870036fc5497b2c83f570ef7f4f31605e0e3910', '1 2 273156d5d579e45f63d2ea9e27b39043055691edf39c8c139a1efce84ad90b33', '1 1 cd9a0dd1af63edc708b2fdab377bae869c88b0cc', '1 2 273156d5d579e45f63d2ea9e27b39043055691edf39c8c139a1efce84ad90b33', '1 1 cd9a0dd1af63edc708b2fdab377bae869c88b0cc']",True,False
20,20,167.114.206.229,primesolutionsinfo.com,"['3 1 f0b661feae2a25ee1bd7820d99419fcf092626b6', '4 1 0a84aab7eb8cd857cc4710cf8dfbb76a1863017c', '1 1 c616465d8102a8856c258c893df61cc1ad042c44', '2 1 730cd65594361dd6c26460c528367056b48d57cc']","['4 2 cd25efe0112ce3aeedd6a460f02c173b60281fa9a6540c25a6eb2f9f9aeaf824', '4 1 0a84aab7eb8cd857cc4710cf8dfbb76a1863017c', '3 2 b70754da79219ce387cfebc17e848197938689772d23208b66ef5023298f1748', '3 1 f0b661feae2a25ee1bd7820d99419fcf092626b6', '1 2 f3720d6d503df882d9df204806ca4a4861c68f25dcbbc64b7db91958a1a493b2', '1 1 c616465d8102a8856c258c893df61cc1ad042c44', '1 2 f3720d6d503df882d9df204806ca4a4861c68f25dcbbc64b7db91958a1a493b2', '1 1 c616465d8102a8856c258c893df61cc1ad042c44', '1 2 f3720d6d503df882d9df204806ca4a4861c68f25dcbbc64b7db91958a1a493b2', '1 1 c616465d8102a8856c258c893df61cc1ad042c44']",True,False
