,ip_str,host_nslookup,sshfp_for_hosts,sshKeys
0,185.230.79.9,silice.crans.org,"['1 1 e929232a2290732a1e5fa08e83e4a8113eaddc47', '3 1 ab43683d91b929bfbc0eb77cb079ea95100c092d', '3 2 1cde7afb4220d45b738d28fc4557a63e973054a2470e49c3ae2678c413cac92a', '4 1 13ef6e1270fbd5e62a78f902a94ee74461f870e9', '4 2 d9644c8ed3f33f20265a781f7bc5b45d2f61be6654035ac0c4cc5c804e387edd', '1 2 c46fe503a2baf5d78c052966b8cc2dd8df393cc8d237cd8125ba7126ca39e397']","['4 2 2WRMjtPzPyAmWngfe8W0XS9hvmZUA1rAxMxcgE44ft0=', '4 1 E+9uEnD71eYqePkCqU7nRGH4cOk=', '3 2 HN56+0Ig1FtzjSj8RVemPpcwVKJHDknDriZ4xBPKySo=', '3 1 q0NoPZG5Kb+8Drd8sHnqlRAMCS0=', '1 2 xG/lA6K69deMBSlmuMwt2N85PMjSN82BJbpxJso545c=', '1 1 6SkjKiKQcyoeX6COg+SoET6t3Ec=', '1 2 xG/lA6K69deMBSlmuMwt2N85PMjSN82BJbpxJso545c=', '1 1 6SkjKiKQcyoeX6COg+SoET6t3Ec=', '1 2 xG/lA6K69deMBSlmuMwt2N85PMjSN82BJbpxJso545c=', '1 1 6SkjKiKQcyoeX6COg+SoET6t3Ec=']"
1,31.24.147.83,plutex-gw1.fsfeurope.org,"['4 2 6ff411041c3ea5f522111ddcdde76c048dfdace56a45d5eb3caebb8762cf6634', '4 1 dc77050fc518cf4c723d9db7a3fd1ccc2032f4a3']","['4 2 b/QRBBw+pfUiER3c3edsBI39rOVqRdXrPK67h2LPZjQ=', '4 1 3HcFD8UYz0xyPZ23o/0czCAy9KM=']"
2,198.58.126.226,mail.heartlandhill.org,"['1 2 68b13b0dd20c407e8696ad8935fb83f42832f4e91da51991c628294529059238', '3 2 603c8e0f839a996bc9ee42f2dd29e4968bbfd35322f3b500984e868c2066f877', '4 2 055b8a1667d3db6267f5e3bd8f7b67cb737661783c5b9086021f87b597aaaa98']","['4 2 BVuKFmfT22Jn9eO9j3tny3N2YXg8W5CGAh+HtZeqqpg=', '4 1 3pdv2PJubeQr58h9sh651IK68OM=', '3 2 YDyOD4OamWvJ7kLy3Snklou/01Mi87UAmE6GjCBm+Hc=', '3 1 PiYMHDXic3uay+Akd1R5Vz7vYcM=']"
3,185.134.197.14,c4.http.faelix.net,"['2 2 872c5347367226080862a143bd05c97627eb1fa3f0ed912ff2ed6a3efb946c52', '1 1 b458031a30e4ed147864b267aef1f1f04b438bff', '3 2 d05a3adbdf5c51847191565b79b9c78a6c5e0b2e3c6e35edca4be1d51444b9d6', '4 2 a754a211cfaed23db592fe86575273eb715205a917cf934321d84dbf62b100e8', '2 1 190ab910c9f670c957007f9b141cda4cb4db6d28', '3 1 13acaca58c08e9b28a1583812984457221d1d7da', '4 1 dd4835638a4d0245191146865921521cdea2a617']","['4 2 FkWf5TWLptcKf9DuL8WJ0519Uex28DU8CgcGJ2BwgFk=', '4 1 31ErZaCEaMvSjjsZclurG6eRJ1w=', '3 2 lAjhLXDHeRUjx++MBEFgJr00bQf+ClRG4twZtP5KFDI=', '3 1 Ph9ESMhkccxbKjgzAcJdcdHN3LI=', '1 2 BKwhzHwfUw2bSnFWmdObStMzbn5sqcasGAqtwAdf3Xw=', '1 1 jR46IypF34QEcog5rqI1qHC+5Xg=', '1 2 BKwhzHwfUw2bSnFWmdObStMzbn5sqcasGAqtwAdf3Xw=', '1 1 jR46IypF34QEcog5rqI1qHC+5Xg=', '1 2 BKwhzHwfUw2bSnFWmdObStMzbn5sqcasGAqtwAdf3Xw=', '1 1 jR46IypF34QEcog5rqI1qHC+5Xg=']"
4,52.35.159.191,box.pauldapolito.com,"['3 2 2edcf538cf66336607d921b64c99adbb89c14a9118f507b6e327a97656804915', '4 2 35280f7668556f8e92036f01e9b4edb531aaf976d8dea04be23d1c5288a95caa', '1 2 cac7acd3df91916fc4da0cc8eba970331159490a2a0634badb8b28e6a37be46e']","['4 2 NSgPdmhVb46SA28B6bTttTGq+XbY3qBL4j0cUoipXKo=', '4 1 z6IKtIDOOXJtmvrz/ASkYJo4FiQ=', '3 2 Ltz1OM9mM2YH2SG2TJmtu4nBSpEY9Qe24yepdlaASRU=', '3 1 jDr+2CIAtMVYaD9UA/psUxh+IU8=']"
5,66.70.220.158,smtp03.usa-validinfos.com,"['4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']","['4 2 XfA8TfJ3JNm1xy5mlRo1be1V5Jb0Lxbz0C6lGmJNZCU=', '4 1 dHlpgKyAwWwMRr7x8UNnOOpzM9g=', '3 2 o9Sw+g+pMaUYJz6/F9VAQ7dXl6uKvQE6g+3tnx4p2s0=', '3 1 asJuaawu2RsTkaWcTMXkLvdTbBE=', '1 2 ZW9kLibxloZgUNFUZACZgx855kjZ4w4vpr3x/xnT+0s=', '1 1 ln725/lGmrJtKCizaW7ALg1FGkA=', '1 2 ZW9kLibxloZgUNFUZACZgx855kjZ4w4vpr3x/xnT+0s=', '1 1 ln725/lGmrJtKCizaW7ALg1FGkA=']"
6,162.243.161.171,box.badgesandbeer.com,"['4 2 e7bfec16443b7f8a67900879216eaebd687b69f98cd5e0dfc1b028a9d782fb17', '1 2 54103a80fe8ee556b505d9714ace9fe4c25815a1b541b546835c97d0da2a7c4f', '3 2 2563885afa5324f5d132b65bbfc538dd433e088442fdde05687cb54e72f6a36a']","['4 2 57/sFkQ7f4pnkAh5IW6uvWh7afmM1eDfwbAoqdeC+xc=', '4 1 RbFTbWYmbuf2ll9MSjV6CT4B780=', '3 2 JWOIWvpTJPXRMrZbv8U43UM+CIRC/d4FaHy1TnL2o2o=', '3 1 UfkobuTxliotnzxh7pOiGVCwNjc=']"
7,2a01:7e00::f03c:91ff:fea7:b76f,box.nbserver.net,"['2 2 40d0ac263a7080063962ffc28217fd6453ccb0bf55400347a60634cd4dad5f37', '3 2 cd6461c1a5fae94b47fa834f5a25bea54002939c6eedda6c1cbada12657c29aa', '4 2 863dadd0cbbeb93c836d29fdb8a31a3fa702e56b0f415bdf4d9c40853766e962', '1 2 b06099366ce8bf2a4b5dc7653fc4b7cd69cf027d7863a8ca42a71748e0fd415f']",
8,216.66.15.23,barron.mayfirst.org,"['4 2 ae18dd480970e6c36f20cca8ef904ff121cf47b966454089b26a9d942e5b167a', '1 2 0947bc056f825eaef74f8607a35220f7e4aab1f132b51b3f850ba690a369d45d', '3 2 0e73c678af017c2a75539bb84b949795b443e7a6341df860383e88e7b75dff11']","['4 2 rhjdSAlw5sNvIMyo75BP8SHPR7lmRUCJsmqdlC5bFno=', '4 1 UJNj4ZF68/XIyFW7naC7Y86Vc34=', '3 2 DnPGeK8BfCp1U5u4S5SXlbRD56Y0HfhgOD6I57dd/xE=', '3 1 iDqixpKoV8tkIY4Pz7gr7L0cN/M=', '1 2 CUe8BW+CXq73T4YHo1Ig9+SqsfEytRs/hQumkKNp1F0=', '1 1 hi5rpCgyYgdVz5zxwRgdT2Iab1E=', '1 2 CUe8BW+CXq73T4YHo1Ig9+SqsfEytRs/hQumkKNp1F0=', '1 1 hi5rpCgyYgdVz5zxwRgdT2Iab1E=', '1 2 CUe8BW+CXq73T4YHo1Ig9+SqsfEytRs/hQumkKNp1F0=', '1 1 hi5rpCgyYgdVz5zxwRgdT2Iab1E=']"
9,163.172.91.86,box.thefeatheredeagle.com,"['4 2 333599ecfae2644d42e9f08fa324766404227b903fee4faf50842c3c30847039', '3 2 510e347793191c7a6f2a53e36e64dc66266d5fe70bd1a732ea06c99abde6113f', '1 2 58af706433e6155f2562b2fe2dec00df40953509630d50fa7e4f2954bc40d10b']","['4 2 MzWZ7PriZE1C6fCPoyR2ZAQie5A/7k+vUIQsPDCEcDk=', '4 1 DKhg5RqtYA4hZv60DT0BtHiZtBU=', '3 2 UQ40d5MZHHpvKlPjbmTcZiZtX+cL0acy6gbJmr3mET8=', '3 1 W3Kw4qqfjbq0EO/WCEYCy3Dz9CY=']"
