ip_str,domain,sshfp
206.12.89.235,computecanada.ca,"['1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5', '4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3']"
157.245.93.138,capindev.tech,"['4 1 aa0bab3c7c5a5ff369b1d1430176de5bd662d157', '1 1 8f47c25b320cd158c7a44a791bdb452a9feff3d5', '3 1 3047ca12b18d89447832effe2c36b0845c4828d3']"
66.70.220.158,usa-validinfos.com,"['2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']"
51.178.186.64,spicycode.eu,"['4 1 41e269aec5e1dba9434454a32768f807fd9f7e7f', '2 1 771f775ff298d25a762650d29d9a1ac2b3f81e2a', '1 1 4e57e03bfc2a932d5357efd232e61aab767a15c9', '3 1 ef6c14ba85aa506f826dc4a3b8ec5d9929a83c3a']"
217.28.145.209,eu.org,"['2 2 483fec41be7c639bb405e5e68cd15d1b632779bdbc4a2ea1145d3039e64ff570', '3 2 9a13a1c4bede22f86b76f1d4f05625f6b840f1b662bd0c6a13f4665eb3c69cc5', '1 2 dc800284c9b552dcf0ff7385468ce38eac001e511b0e1542705707d070add5d0']"
5.75.140.200,aberrata.net,"['4 2 4e099f961f80bd4efbde250b44cbae29b2442a74358170e616505c029a087935', '1 1 b7f8c9d96b2a49c7dba8ce95b91502e23f57b354', '3 1 6a0d50b77bc40890dd831e7232df23a297df9fc7', '4 1 68b6cc6d1c69f06ed21e38790c6beb8a00ee8fee', '3 2 ee8b382d70fc42f3c7911cdc3fa922545f7bad0c7077677bae8ea1834b7c9629', '1 2 9d55137f46abd8f9792f08ebe6ca6850f08b27d5f6e102fcd30d29a99e4c8fef']"
144.217.117.231,mta02.net,"['3 1 19f1667e885ce433b10f90e8fd3324937e6b527b', '2 1 990588e17d3323cc0da1683c87cd336d560a9a7b', '1 1 137f2fb8c5e4fc6c12dea4578e4579e0f7dcba8c', '4 1 18c26d0e43656ee8bcbb03f3beadad8b364c59c1']"
54.39.78.219,infotechnodeals.com,"['3 1 013700abde3cbb1d6945fa457d4930ab7b28867d', '4 1 f094789abcac956b09268cc31a0a4b5aaccc6c56', '2 1 7df904865bc0424e076cf538d4c2a22dda2c9dd3', '1 1 3c61470e2de12ee9140fa712d351a46cbd8e814f']"
206.12.91.151,computecanada.ca,"['4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3', '1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5']"
206.12.101.15,computecanada.ca,"['4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3', '1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5']"
194.163.171.76,5wh.info,"['2 1 d0c088d5fcf5adeb9dd6721d56463d051386e30a', '3 1 3b87de4389ef3f9768aec932716c6e147fa452f0', '4 1 c41c1455580bcbd47e0ef77a0b0ed25dcd52a370', '1 1 07e65095f335a99453afdd022731b93a39ee60a9']"
91.232.154.104,kapsi.fi,"['3 1 0cb3a9d1a2560896f78549cba87e3735d10c155f', '2 2 020c27213b5b7f9fb34e944fe556e646c3cf8cfda96aedd79e5d4c1421cf4b11', '2 1 0043570db4ca50fd69fcf7775033440452ac470b', '4 2 4f9905adc16dc086889f16d707964353f7b1b8ea2a8e56362d8303cc51e1ba48', '4 1 9f6ce32eaeeb4c860dd28b1852f8ddfbccf62acd', '3 2 6de2dc560d6de376babcf3ef47bd75b04814a265a8387ca7ed006e48fddba80e', '1 1 f569ae42799cd12f3ab31e31db3e0e5e1e8f36a2', '1 2 a77a81ef7826f26d8b0dfd2908c1684d384703779af6812d6c787f283eb07031']"
83.97.42.17,ping.de,['1 1 60d004451b5d560b4adff8ca4cb1a316c72c7187']
198.168.184.177,computecanada.ca,"['1 2 fc8f533c90db416b2d37dfbef6c76c15d947cbc132458d5533b38746317d95c5', '4 2 24a9f546d3399602c6a8e4da4eb79bedc382864de4993d9e502a036ab2c125a3']"
54.39.13.22,listsourceinfo.com,"['1 1 d3bb9ac412868736c33bafadb77db2bf53b4839e', '4 1 7d25bc40a1ad90e1ef276ce9edd5d6ecff45fa1e', '3 1 15001453bf1a3ffaedee7f3a30030fb1cef66244', '2 1 be003d74f1253a61fb6a17452c7391d9beb9d942']"
