ip_str,host_nslookup,sshfp_for_hosts
185.230.79.9,silice.crans.org,"['1 1 e929232a2290732a1e5fa08e83e4a8113eaddc47', '3 1 ab43683d91b929bfbc0eb77cb079ea95100c092d', '3 2 1cde7afb4220d45b738d28fc4557a63e973054a2470e49c3ae2678c413cac92a', '4 1 13ef6e1270fbd5e62a78f902a94ee74461f870e9', '4 2 d9644c8ed3f33f20265a781f7bc5b45d2f61be6654035ac0c4cc5c804e387edd', '1 2 c46fe503a2baf5d78c052966b8cc2dd8df393cc8d237cd8125ba7126ca39e397']"
31.24.147.83,plutex-gw1.fsfeurope.org,"['4 2 6ff411041c3ea5f522111ddcdde76c048dfdace56a45d5eb3caebb8762cf6634', '4 1 dc77050fc518cf4c723d9db7a3fd1ccc2032f4a3']"
198.58.126.226,mail.heartlandhill.org,"['1 2 68b13b0dd20c407e8696ad8935fb83f42832f4e91da51991c628294529059238', '3 2 603c8e0f839a996bc9ee42f2dd29e4968bbfd35322f3b500984e868c2066f877', '4 2 055b8a1667d3db6267f5e3bd8f7b67cb737661783c5b9086021f87b597aaaa98']"
185.134.197.14,c4.http.faelix.net,"['2 2 872c5347367226080862a143bd05c97627eb1fa3f0ed912ff2ed6a3efb946c52', '1 1 b458031a30e4ed147864b267aef1f1f04b438bff', '3 2 d05a3adbdf5c51847191565b79b9c78a6c5e0b2e3c6e35edca4be1d51444b9d6', '4 2 a754a211cfaed23db592fe86575273eb715205a917cf934321d84dbf62b100e8', '2 1 190ab910c9f670c957007f9b141cda4cb4db6d28', '3 1 13acaca58c08e9b28a1583812984457221d1d7da', '4 1 dd4835638a4d0245191146865921521cdea2a617']"
52.35.159.191,box.pauldapolito.com,"['3 2 2edcf538cf66336607d921b64c99adbb89c14a9118f507b6e327a97656804915', '4 2 35280f7668556f8e92036f01e9b4edb531aaf976d8dea04be23d1c5288a95caa', '1 2 cac7acd3df91916fc4da0cc8eba970331159490a2a0634badb8b28e6a37be46e']"
66.70.220.158,smtp03.usa-validinfos.com,"['4 1 74796980ac80c16c0c46bef1f1436738ea7333d8', '1 1 967ef6e7f9469ab26d2828b3696ec02e0d451a40', '2 1 7490dd583b061d3b5f11bbbcfa22d4c480e268d2', '3 1 6ac26e69ac2ed91b1391a59c4cc5e42ef7536c11']"
162.243.161.171,box.badgesandbeer.com,"['4 2 e7bfec16443b7f8a67900879216eaebd687b69f98cd5e0dfc1b028a9d782fb17', '1 2 54103a80fe8ee556b505d9714ace9fe4c25815a1b541b546835c97d0da2a7c4f', '3 2 2563885afa5324f5d132b65bbfc538dd433e088442fdde05687cb54e72f6a36a']"
2a01:7e00::f03c:91ff:fea7:b76f,box.nbserver.net,"['2 2 40d0ac263a7080063962ffc28217fd6453ccb0bf55400347a60634cd4dad5f37', '3 2 cd6461c1a5fae94b47fa834f5a25bea54002939c6eedda6c1cbada12657c29aa', '4 2 863dadd0cbbeb93c836d29fdb8a31a3fa702e56b0f415bdf4d9c40853766e962', '1 2 b06099366ce8bf2a4b5dc7653fc4b7cd69cf027d7863a8ca42a71748e0fd415f']"
216.66.15.23,barron.mayfirst.org,"['4 2 ae18dd480970e6c36f20cca8ef904ff121cf47b966454089b26a9d942e5b167a', '1 2 0947bc056f825eaef74f8607a35220f7e4aab1f132b51b3f850ba690a369d45d', '3 2 0e73c678af017c2a75539bb84b949795b443e7a6341df860383e88e7b75dff11']"
163.172.91.86,box.thefeatheredeagle.com,"['4 2 333599ecfae2644d42e9f08fa324766404227b903fee4faf50842c3c30847039', '3 2 510e347793191c7a6f2a53e36e64dc66266d5fe70bd1a732ea06c99abde6113f', '1 2 58af706433e6155f2562b2fe2dec00df40953509630d50fa7e4f2954bc40d10b']"
131.188.60.60,cip4d1.cip.cs.fau.de,"['1 1 4f401a12b5c5b5f10ec0f8f7975305c75f6c54b8', '1 2 0feb0055d6d99beb8b84b6693444f58d1a532c4921b5074811ca348d6bd65286']"
62.44.127.61,rec-gw.uni-sofia.bg,"['3 2 757e50ce68ee4b5a455383e8b3fd3151a608dde6ac8c5cc96496b71ffabc6342', '1 2 90850fb8346f1367b9af9fd956240f5e5b2adf084eb31a6db85f77932595a3a7']"
46.235.224.107,sprite.mythic-beasts.com,"['2 1 e0235ebb113c2ed7695d4ad5f7e5031e86fd47ed', '3 1 bfa2c941e688b778b194e26ac4db0d4b7bd5d05b', '1 1 a6fc30bb62f27e6899554cc7beef3ffb7d0606a4', '1 2 03b524d3b0edfb156faca01a86b067e29d57b9966ae36c74caa7f1e2332df4cb', '4 1 8da2ffb0b218eed748e9a9955366803a11db0e87', '3 2 516d4735d3f145cc1dcb78a37d0924682b6f46e69ed7ee8dba7c40aa5989f8dd', '2 2 64da887ecf399228e639393b97ad3cbd8b2a7fcdb8f4b57e071dab8b9eea04ea', '4 2 7c23a1e1cc468e1147a8d5f66c811e571522b828c0ecd47886e45e547f8d887b']"
5.75.140.200,xmpp.aberrata.net,"['3 2 6f2ff768c5c7ebbca1a5d2713dd599f8430789492becb7acd87cc1335f299b34', '4 2 1be2cf46ef6e3867c1aad1c3bc316b923671d90c78aa0536f6c226e5cb466640', '3 1 18762a8f69316508142ba444516973e76ae0a761', '4 1 37c68948eb70440da5d81696b367f0affebddafe', '1 1 947ab3b978319e0dc6e26424e1601fcd0999268a', '1 2 38823a208f05c320ed226eec701b188c5b72f4c02174e27641516f7ecf26e933']"
131.188.30.214,cip1d2.cip.cs.fau.de,"['1 1 9970181d2e08acd51b82d688b6ad6ab6cfc1fea7', '1 2 80870c7a4c21cfa3b204a67cd2f8525ec4a27eadc191061552f14d9da03e9977']"
188.174.253.165,matilda.madduck.net,"['4 2 b4ad3afc64aa37620a6902f55f6b39fbc1c0b271cec6e369fe79fe20711dbd54', '3 1 c737e7882107ed210573ae618a49d743fded1b9e', '3 2 9b60ff1ce64af0b7e636bae9574c4e67506124adf91920045ae0ebe2ee30d71b', '1 1 6adca7911300ab170355251eb59991088062031d', '2 2 76da11dae9074224a99fed798b0e570e0a4c7e25242ff177c40b1ce08cc5697d', '2 1 92e091b50bdeb76ff934eec286ff5b68a30062f1', '1 2 e165831942d0a28392c2e6f2fc65a4c536def56efdf8ff448cfe2fb3e0835b33', '4 1 3c6b04a6fd8f75c26e99cb1142b066fa6b326702']"
168.119.120.223,pad.online.debconf.org,"['4 1 02f4719714db59ad3d050f076e7d32d2f6807792', '1 1 dff66f6aa26830e9ae7a7c90b86d52a30f0e225b', '4 2 1f89412b0f79b77bf355255243afa12e5187e56637d951e30780e971d4ebc23e', '1 2 865be098966630148028a1d331fb7ccb6664b6bd07bfde01031ad7f34a357e75']"
